,index,f1,pr,re
0,12,0.23421938023832142,0.3576249639249643,0.18796369374908423
1,14,0.2544180205246891,0.3539843961593966,0.2153446723214295
2,16,0.2730494572729878,0.352054039016539,0.24237806928881048
3,18,0.2879415671705318,0.34854811581392514,0.2670707954668488
4,20,0.3013202530970017,0.3455058643519365,0.2910986418210171
5,22,0.31323608957131266,0.34304753101860314,0.3141174371084045
6,24,0.32353332150875314,0.3403100474876417,0.33596782541424974
7,26,0.3320210330748849,0.3375635731286656,0.355811856255169
8,28,0.34095074277625254,0.3363170326321268,0.3762380628424968
9,30,0.348333343854396,0.33460705726266754,0.3950297269588058
10,32,0.3551853965538788,0.3332917346820231,0.4129852354033886
11,34,0.3614251919477915,0.33218327879967113,0.4301285089687843
12,36,0.36672012882473,0.3310430360358979,0.44562806487399775
13,38,0.37172359466903415,0.3301219241345234,0.4608941437609822
14,40,0.37605920169398116,0.3291632365501772,0.4748747066138334
15,42,0.37983879385699015,0.32816841947700776,0.4879389171728108
16,44,0.383789155223966,0.32776539420770273,0.5009003904319894
17,46,0.38668930298736404,0.32685364629378016,0.5121231747363023
18,48,0.389377041560027,0.32615285805757943,0.5226084838471942
19,50,0.3916593945402973,0.32541654853377044,0.5322328064714762
20,52,0.39402468512621075,0.325048117161221,0.5415174667701448
21,54,0.39599257282797146,0.32463884177553076,0.5497823401556293
22,56,0.3974753751302525,0.3240973554840439,0.5567433952707516
23,58,0.3989747880402597,0.3237463162480223,0.5634660150947047
24,60,0.4004108300411293,0.3234975338595562,0.5697986404432034
25,62,0.40128377890576955,0.3230084892623411,0.5748211328437737
26,64,0.4020470381115653,0.3225846741381733,0.5793262349812732
27,66,0.40267632762841954,0.32219115359621553,0.5832809399431094
28,68,0.4032117814874179,0.3218348036613979,0.5868051178845289
29,70,0.403653183283171,0.3215313205290138,0.5898060270199669
30,72,0.4039692526531412,0.32123487239577014,0.5922892856216307
31,74,0.4043031912266652,0.3210448861766745,0.59451626102362
32,76,0.40462496582366786,0.32090733046306574,0.596519657429656
33,78,0.4048147388269539,0.3207334955260733,0.5980921195566333
34,80,0.40501824154268656,0.32059882942740386,0.599599485074413
35,82,0.4051956496448164,0.32048146078843975,0.600945222163896
36,84,0.4053494401131827,0.32038744885219306,0.6020790873403602
37,86,0.4054335892857249,0.3202778159292566,0.6029528213182435
38,88,0.40565609470327285,0.3202908790990457,0.6039591757029436
