,index,f1,pr,re
0,12,0.31044911554182897,0.5679889610389618,0.23026689653275548
1,14,0.3272506043761449,0.542142349317349,0.25382998578085075
2,16,0.3408682230380192,0.5207179445554446,0.27531324623651876
3,18,0.35427850402386885,0.5050610818103451,0.29706974054247187
4,20,0.3643874362896894,0.4902505554945569,0.31619321773216275
5,22,0.37251777191600083,0.47689189748589955,0.333599535814563
6,24,0.3791269334597604,0.4646987156677179,0.3494067279522608
7,26,0.38376873204136774,0.452627625924128,0.363412667432323
8,28,0.38731730574229756,0.4416640524605542,0.3760091541507255
9,30,0.39008095999974646,0.4320605220828856,0.38737223612376276
10,32,0.3927862244063437,0.42375514573880013,0.39839879863117955
11,34,0.39425351005487075,0.41556263236981617,0.4078522059446467
12,36,0.3959989940560293,0.4088390095873699,0.417172376648557
13,38,0.39667991708074113,0.4020204739464655,0.42503085261682894
14,40,0.3977438780229037,0.39668921551191844,0.43275112586617426
15,42,0.3983084881663921,0.3915907689381679,0.4397073774539703
16,44,0.39857438011495566,0.38683660352993177,0.44587751335180176
17,46,0.39874084994922365,0.3826918736221582,0.4514726828906157
18,48,0.3989753155120943,0.379215703794838,0.45662698011577724
19,50,0.3988465671151652,0.3758811204615044,0.46095952512408905
20,52,0.39879132639222903,0.3730052381085634,0.46508880836509625
21,54,0.3988517181418962,0.3707125568205996,0.468745563843605
22,56,0.3990916889140052,0.36886082521886737,0.47230837603400294
23,58,0.39919044854405394,0.36718195671139103,0.4753722044252675
24,60,0.39938846892796936,0.3658250942527901,0.4782963671616068
25,62,0.3992035411864968,0.36438009601552596,0.4803755716250783
26,64,0.3991071931344497,0.36324761553677554,0.4822049689909857
27,66,0.39916631782745243,0.3624158082815307,0.4839854952217059
28,68,0.3990572861355409,0.361575743897568,0.48537436680810253
29,70,0.39906432692141386,0.36097506493032916,0.4866737522499387
30,72,0.3990542589585539,0.36046289748118976,0.48772542216306647
31,74,0.39909746651953704,0.3600833672660429,0.48868432370412895
32,76,0.3991099525384218,0.35973961667334503,0.48948768040394997
33,78,0.3990443555338276,0.359370853857214,0.49010026956165864
34,80,0.3990126314877673,0.35909280492829454,0.4906356040583672
35,82,0.3989472779156413,0.3588081542206764,0.4910886339798444
36,84,0.39898350924443415,0.3586455298556206,0.491589511110076
37,86,0.39901980639654194,0.35852611743949137,0.4919908075560461
38,88,0.3989946307719442,0.35837908729441575,0.4922639405569221
